term,domain,z,delta,count_domain,count_total,docfreq_domain,docfreq_total,ngram_len
molecules and,CCE,3.2860488826228624,2.465087287467684,13.0,15.0,12,14,2
ionic,CCE,3.284346473281904,0.937341663065931,29.0,50.0,15,25,1
of molecular,CCE,3.2563398106991097,2.067933453873918,13.0,16.0,12,15,2
trap,CCE,3.2563398106991097,2.067933453873918,13.0,16.0,8,11,1
the device,CCE,3.2563398106991097,2.067933453873918,13.0,16.0,12,15,2
quantum dots,CCE,3.2563398106991097,2.067933453873918,13.0,16.0,8,11,2
grains,CCE,3.2563398106991097,2.067933453873918,13.0,16.0,7,9,1
electronics,CCE,3.2563398106991097,2.067933453873918,13.0,16.0,11,14,1
nucleation and,CCE,3.2552806490141553,3.2701525232352555,15.0,16.0,10,11,2
switching,CCE,3.2420739972644226,0.8620325471756098,32.0,57.0,12,25,1
the formation,CCE,3.240520339441278,0.798005506643559,36.0,66.0,30,54,2
understanding,CCE,3.2194714732345218,0.469119215942122,87.0,188.0,76,156,1
heat,CCE,3.216132025150969,0.8710303678057691,31.0,55.0,18,33,1
drug,CCE,3.210458339542943,1.3044956512234869,18.0,27.0,8,12,1
valuable,CCE,3.198237841585894,1.364535414468591,17.0,25.0,17,25,1
machine learning,CCE,3.1890162502150408,0.5046993520735956,75.0,159.0,45,105,2
exciton,CCE,3.1867233676294995,1.4367097936579736,16.0,23.0,10,16,1
favorable,CCE,3.1867233676294995,1.4367097936579736,16.0,23.0,14,20,1
cell,CCE,3.18522739909719,0.809739283337465,34.0,62.0,20,35,1
influence,CCE,3.182725959454965,0.7189577454167502,41.0,78.0,32,65,1
cmos,CCE,3.1774089386715048,3.204750795336958,14.0,15.0,8,9,1
batteries,CCE,3.175128932044076,1.5253726119064694,15.0,21.0,12,17,1
accurately,CCE,3.1644336566217084,0.8911819508404797,29.0,51.0,29,51,1
process and,CCE,3.161641393299435,1.6374116679769273,14.0,19.0,13,18,2
cathode,CCE,3.161641393299435,1.6374116679769273,14.0,19.0,8,10,1
wavelength,CCE,3.161641393299435,1.6374116679769273,14.0,19.0,9,13,1
infrared,CCE,3.161641393299435,1.6374116679769273,14.0,19.0,12,17,1
optical properties,CCE,3.161641393299435,1.6374116679769273,14.0,19.0,10,14,2
material for,CCE,3.161486164642157,2.386928803417975,12.0,14.0,11,13,2
energy conversion,CCE,3.161486164642157,2.386928803417975,12.0,14.0,8,9,2
crystallinity,CCE,3.161486164642157,2.386928803417975,12.0,14.0,8,9,1
circ,CCE,3.161486164642157,2.386928803417975,12.0,14.0,7,9,1
nmr,CCE,3.161486164642157,2.386928803417975,12.0,14.0,4,5,1
elemental,CCE,3.161486164642157,2.386928803417975,12.0,14.0,9,11,1
cavity,CCE,3.161486164642157,2.386928803417975,12.0,14.0,3,5,1
calculations,CCE,3.15357562909707,0.4416192576901299,93.0,204.0,73,163,1
multicomponent,CCE,3.1420918305565166,1.784573626276611,13.0,17.0,7,10,1
rational design,CCE,3.1420918305565166,1.784573626276611,13.0,17.0,13,17,2
identification of,CCE,3.1420918305565166,1.784573626276611,13.0,17.0,12,16,2
mechanisms,CCE,3.1343543423473585,0.5679042577418807,59.0,121.0,50,103,1
production,CCE,3.1097449841692377,1.0928239385657523,21.0,34.0,18,24,1
mofs,CCE,3.1097449841692377,1.0928239385657523,21.0,34.0,7,9,1
experimental measurements,CCE,3.1063459192375613,1.9891931936669902,12.0,15.0,11,14,2
the rational,CCE,3.1063459192375613,1.9891931936669902,12.0,15.0,12,15,2
biology,CCE,3.1063459192375613,1.9891931936669902,12.0,15.0,7,10,1
the rational design,CCE,3.1063459192375613,1.9891931936669902,12.0,15.0,12,15,3
design of,CCE,3.101600245407111,0.8305185650747067,31.0,56.0,30,54,2
separation of,CCE,3.0940346641973697,3.1342496258969543,13.0,14.0,12,13,2
ev and,CCE,3.0940346641973697,3.1342496258969543,13.0,14.0,11,12,2
the reaction,CCE,3.0940346641973697,3.1342496258969543,13.0,14.0,13,14,2
quantitative,CCE,3.0899054516004743,0.6384349379347594,47.0,93.0,40,78,1
circuits,CCE,3.0878593098245677,0.9282772172799874,26.0,45.0,15,25,1
